student_id,class_id,midterm_score,final_score,grade_value,letter_grade,registration_date
38,82,,,,,2026-08-28
39,76,,,,,2026-08-25
39,79,,,,,2026-08-25
39,81,,,,,2026-08-25
39,93,,,,,2026-08-25
40,76,,,,,2026-09-02
40,79,,,,,2026-09-02
40,81,,,,,2026-09-02
40,93,,,,,2026-09-02
41,76,,,,,2026-08-26
41,79,,,,,2026-08-26
41,81,,,,,2026-08-26
41,82,,,,,2026-08-26
42,76,,,,,2026-09-01
42,79,,,,,2026-09-01
42,81,,,,,2026-09-01
42,101,,,,,2026-09-01
42,102,,,,,2026-09-01
43,76,,,,,2026-09-12
43,79,,,,,2026-09-12
43,81,,,,,2026-09-12
43,93,,,,,2026-09-12
44,76,,,,,2026-09-01
44,79,,,,,2026-09-01
44,81,,,,,2026-09-01
44,93,,,,,2026-09-01
45,76,,,,,2026-09-02
45,79,,,,,2026-09-02
45,81,,,,,2026-09-02
45,93,,,,,2026-09-02
46,76,,,,,2026-08-31
46,79,,,,,2026-08-31
46,81,,,,,2026-08-31
46,82,,,,,2026-08-31
47,76,,,,,2026-09-09
47,79,,,,,2026-09-09
47,81,,,,,2026-09-09
47,101,,,,,2026-09-09
47,102,,,,,2026-09-09
48,76,,,,,2026-08-28
48,79,,,,,2026-08-28
48,81,,,,,2026-08-28
48,93,,,,,2026-08-28
49,76,,,,,2026-09-10
49,79,,,,,2026-09-10
49,81,,,,,2026-09-10
49,93,,,,,2026-09-10
50,76,,,,,2026-09-09
50,79,,,,,2026-09-09
50,81,,,,,2026-09-09
50,82,,,,,2026-09-09
51,76,,,,,2026-09-12
51,79,,,,,2026-09-12
51,81,,,,,2026-09-12
51,82,,,,,2026-09-12
52,76,,,,,2026-09-12
52,79,,,,,2026-09-12
52,81,,,,,2026-09-12
52,101,,,,,2026-09-12
52,102,,,,,2026-09-12
53,76,,,,,2026-09-04
53,79,,,,,2026-09-04
53,81,,,,,2026-09-04
53,93,,,,,2026-09-04
54,76,,,,,2026-09-02
54,79,,,,,2026-09-02
54,81,,,,,2026-09-02
54,101,,,,,2026-09-02
54,102,,,,,2026-09-02
55,76,,,,,2026-08-22
55,79,,,,,2026-08-22
55,81,,,,,2026-08-22
55,82,,,,,2026-08-22
56,76,,,,,2026-08-31
56,79,,,,,2026-08-31
56,81,,,,,2026-08-31
56,93,,,,,2026-08-31
57,76,,,,,2026-09-12
57,79,,,,,2026-09-12
57,81,,,,,2026-09-12
57,82,,,,,2026-09-12
58,76,,,,,2026-08-31
58,79,,,,,2026-08-31
58,81,,,,,2026-08-31
58,82,,,,,2026-08-31
59,76,,,,,2026-09-06
59,79,,,,,2026-09-06
59,81,,,,,2026-09-06
59,107,,,,,2026-09-06
60,76,,,,,2026-08-31
60,79,,,,,2026-08-31
60,81,,,,,2026-08-31
60,82,,,,,2026-08-31
61,76,,,,,2026-09-12
61,79,,,,,2026-09-12
61,81,,,,,2026-09-12
61,82,,,,,2026-09-12
62,76,,,,,2026-09-01
62,79,,,,,2026-09-01
62,81,,,,,2026-09-01
62,93,,,,,2026-09-01
63,76,,,,,2026-09-04
63,79,,,,,2026-09-04
63,81,,,,,2026-09-04
63,82,,,,,2026-09-04
